,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도,브랜드명
50354,배스킨라빈스영등포역남부점,음식,기타 간이,아이스크림/빙수,서울특별시,영등포구,영등포본동,영등포동,서울특별시 영등포구 영신로9나길 18,126.905808485568,37.5137612128002,
54708,베스킨라빈스은평뉴타운점,음식,기타 간이,아이스크림/빙수,서울특별시,은평구,진관동,진관동,서울특별시 은평구 진관4로 17,126.922885911367,37.6436402655523,
58464,베스킨라빈스상왕십리센트라스점,음식,기타 간이,아이스크림/빙수,서울특별시,성동구,왕십리도선동,하왕십리동,서울특별시 성동구 왕십리로 410,127.024062147888,37.5665447401941,
59389,비알배스킨라빈스위례중앙,음식,기타 간이,아이스크림/빙수,서울특별시,송파구,위례동,장지동,서울특별시 송파구 위례광장로 136,127.142435872182,37.4772499141621,
60341,배스킨라빈스중계,음식,기타 간이,아이스크림/빙수,서울특별시,노원구,중계1동,중계동,서울특별시 노원구 노원로 330,127.070924140659,37.6467821708058,
60750,배스킨라빈스구로,음식,기타 간이,아이스크림/빙수,서울특별시,구로구,고척1동,고척동,서울특별시 구로구 경인로47길 18,126.866861702421,37.5003739304345,
61952,비알배스킨라빈스BROWN청담,음식,기타 간이,아이스크림/빙수,서울특별시,강남구,압구정동,신사동,서울특별시 강남구 도산대로 327,127.037581707952,37.5231080360865,
63729,배스킨라빈스홈플러스,음식,기타 간이,아이스크림/빙수,서울특별시,동대문구,용신동,용두동,서울특별시 동대문구 천호대로 133,127.03875415289,37.5745404145486,
63800,베스킨라빈스롯데마트몰,음식,기타 간이,아이스크림/빙수,서울특별시,은평구,진관동,진관동,서울특별시 은평구 통일로 1050,126.917886817677,37.6375306116819,
63898,배스킨라빈스,음식,기타 간이,아이스크림/빙수,서울특별시,중랑구,상봉2동,상봉동,서울특별시 중랑구 면목로 495,127.085302918245,37.5960398027359,
66545,배스킨라빈스강남은곡,음식,기타 간이,아이스크림/빙수,서울특별시,강남구,세곡동,세곡동,서울특별시 강남구 헌릉로569길 3,127.10131591389,37.4667983334737,
66727,배스킨라빈스성북아리랑점,음식,기타 간이,아이스크림/빙수,서울특별시,성북구,동선동,동선동5가,서울특별시 성북구 아리랑로 46,127.015378250626,37.5967656605033,
